               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032522,            0.031641,             0.00115,             0.70942,             0.53372,             0.57691,             0.29254,            0.029724,            0.030292,           0.0009712,              0.0072,              0.0072,              0.0072
                  37,            0.032603,             0.03125,           0.0011426,             0.56076,             0.55682,             0.54341,             0.29393,            0.029759,            0.030269,           0.0010594,             0.00712,             0.00712,             0.00712
                  38,             0.03225,            0.031237,           0.0011056,             0.56793,             0.54842,             0.52852,             0.27818,            0.030068,            0.030296,           0.0010915,             0.00704,             0.00704,             0.00704
                  39,            0.032394,            0.031261,            0.001218,             0.56857,              0.5663,                0.52,             0.27397,            0.030183,            0.030158,            0.001032,             0.00696,             0.00696,             0.00696
                  40,            0.032414,            0.031301,           0.0010768,             0.62024,             0.60495,             0.54122,             0.27435,            0.030197,            0.030193,          0.00091046,             0.00688,             0.00688,             0.00688
                  41,            0.032487,            0.031057,           0.0010191,             0.57974,             0.61951,             0.58102,             0.29004,            0.029593,            0.030145,          0.00068232,              0.0068,              0.0068,              0.0068
                  42,            0.031776,            0.031058,           0.0010484,             0.62555,             0.62875,             0.57761,             0.28736,             0.03001,            0.030099,          0.00071211,             0.00672,             0.00672,             0.00672
                  43,            0.032196,            0.031197,          0.00099244,             0.60011,              0.6471,             0.54542,             0.27335,            0.030169,            0.030041,          0.00075826,             0.00664,             0.00664,             0.00664
                  44,            0.032395,            0.031191,           0.0011106,             0.58997,             0.62459,              0.5422,             0.27351,              0.0297,            0.030041,          0.00079287,             0.00656,             0.00656,             0.00656
                  45,             0.03279,            0.030916,          0.00086645,               0.593,             0.61315,             0.54504,             0.27316,            0.029468,            0.029991,          0.00082817,             0.00648,             0.00648,             0.00648
